"building_id","registration_id","borough","house_number","street_name","postcode","of_dwelling_units","infested_dwelling_unit_count","eradicated_unit_count","re_infested_dwelling_unit","filing_date","filing_period_start_date","filling_period_end_date","latitude","longitude","community_board","city_council_district","census_tract_2010","bin","bbl","nta"
"406435","405512","QUEENS","74-06","21 AVENUE","11370","4","0","0","0","2023-12-19T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.770234","-73.895433","1","22","317","4021341","4009700003","Astoria (North)-Ditmars-Steinway"
"309210","373457","BROOKLYN","150","HAWTHORNE STREET","11225","100","0","0","0","2021-12-28T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.657529","-73.955215","9","40","802","3115699","3050460018","Prospect Lefferts Gardens-Wingate"
"283093","353303","BROOKLYN","1492","EAST 94 STREET","11236","3","0","0","0","2023-12-18T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.635884","-73.896133","18","46","1010","3232668","3082580068","Canarsie"
"5605","110224","MANHATTAN","1626","AMSTERDAM AVENUE","10031","54","1","1","0","2024-11-05T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.822231","-73.949818","9","7","225","1061768","1020720030","Hamilton Heights-Sugar Hill"
"83549","220738","BRONX","4027","HARPER AVENUE","10466","3","0","0","0","2019-01-29T00:00:00.000","2017-11-01T00:00:00.000","2018-11-30T00:00:00.000","40.891746","-73.832836","12","12","456","2067052","2049660061","Eastchester-Edenwald-Baychester"
"365605","347622","BROOKLYN","105","RYERSON STREET","11205","3","0","0","0","2023-12-28T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.694573","-73.965183","2","35","191","3054540","3018920013","Clinton Hill"
"878004","386774","BROOKLYN","323","ATKINS AVENUE","11208","3","3","3","3","2023-07-14T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.670879","-73.878076","5","42","1194","3401879","3040550003","East New York (North)"
"30491","115448","MANHATTAN","130","WEST 16 STREET","10011","42","0","0","0","2024-01-11T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.739115","-73.996915","4","3","81","1014565","1007910062","Chelsea-Hudson Yards"
"10809","132704","MANHATTAN","303","EAST 5 STREET","10003","12","0","0","0","2019-01-16T00:00:00.000","2017-11-01T00:00:00.000","2018-11-30T00:00:00.000","40.726623","-73.988588","3","2","38","1006259","1004470055","East Village"
"459514","422205","QUEENS","219-21","67 AVENUE","11364","3","0","0","0","2025-08-20T00:00:00.000","2023-11-01T00:00:00.000","2024-10-31T00:00:00.000","40.745108","-73.756836","11","23","1367","4446735","4076217502","Oakland Gardens-Hollis Hills"
"416589","409420","QUEENS","14-40","30 ROAD","11102","4","0","0","0","2024-02-15T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.769884","-73.930247","1","22","79","4005983","4005350042","Old Astoria-Hallets Point"
"70295","216839","BRONX","769","EAST 224 STREET","10466","7","0","0","0","2023-12-14T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.886530","-73.859030","12","12","406","2063391","2048380014","Williamsbridge-Olinville"
"70295","216839","BRONX","769","EAST 224 STREET","10466","7","0","0","0","2023-12-14T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.886530","-73.859030","12","12","406","2063391","2048380014","Williamsbridge-Olinville"
"59534","219023","BRONX","1237","CROSBY AVENUE","10461","4","0","0","0","2025-08-20T00:00:00.000","2023-11-01T00:00:00.000","2024-10-31T00:00:00.000","40.836938","-73.828034","10","13","184","2073227","2053360063","Throgs Neck-Schuylerville"
"432097","403739","QUEENS","34-18","43 STREET","11101","6","0","6","0","2022-06-10T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.755031","-73.918907","1","22","159","4010977","4006750028","Astoria (East)-Woodside (North)"
"14029","102873","MANHATTAN","355","EAST 50 STREET","10022","7","0","0","0","2024-04-25T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.754349","-73.967252","6","4","98","1039611","1013430023","East Midtown-Turtle Bay"
"871512","224572","BRONX","2734","HONE AVENUE","10469","3","0","0","0","2024-10-27T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.866081","-73.857703","11","13","344","2113984","2045190115","Pelham Gardens"
"504318","400274","QUEENS","35-21","94 STREET","11372","20","0","0","0","2024-01-05T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.752363","-73.873411","3","21","27302","4036179","4014680068","Jackson Heights"
"302827","823409","BROOKLYN","701","GRAND STREET","11211","2","0","0","0","2023-12-22T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.711580","-73.944664","1","34","495","3069424","3027820034","East Williamsburg"
"842922","379341","BROOKLYN","52","INDIA STREET","11222","8","0","0","0","2020-12-22T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.731938","-73.958596","1","33","565","3064385","3025390012","Greenpoint"
"139098","304735","BROOKLYN","5023","14 AVENUE","11219","36","0","0","0","2024-04-18T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.632958","-73.990669","12","44","236","3138096","3056500001","Borough Park"
"100357","211497","BRONX","3231","OLINVILLE AVENUE","10467","7","0","0","0","2020-02-28T00:00:00.000","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","40.872107","-73.868252","12","12","376","2056196","2045940039","Williamsbridge-Olinville"
"10848","103417","MANHATTAN","522","EAST 5 STREET","10009","9","0","0","0","2023-12-15T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.724556","-73.983696","3","2","32","1005019","1004000017","East Village"
"34809","134548","MANHATTAN","159","WEST 71 STREET","10023","7","0","0","0","2023-07-27T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.777512","-73.981105","7","6","157","1029877","1011430010","Upper West Side-Lincoln Square"
"95433","223957","BRONX","2059","MC GRAW AVENUE","10462","104","3","3","0","2021-12-02T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.835571","-73.856008","9","18","212","2096656","2039387501","Parkchester"
